,tickerlist,invest_grades,timestamps,past_price,current_price
0,AACG,,,,
1,AACQ,,,,
2,AACQU,,,,
3,AACQW,,,,
4,AAL,,,,
5,AAME,,,,
6,AAOI,,,,
7,AAON,,,,
8,AAPL,,,,
9,AAWW,,,,
10,AAXJ,,,,
11,AAXN,,,,
12,ABCB,,,,
13,ABCM,,,,
14,ABEO,,,,
15,ABIO,,,,
16,ABMD,,,,
17,ABST,,,,
18,ABTX,,,,
19,ABUS,,,,
20,ACACU,,,,
21,ACAD,,,,
22,ACAM,,,,
23,ACAMU,,,,
24,ACAMW,,,,
25,ACBI,,,,
26,ACCD,,,,
27,ACER,,,,
28,ACET,,,,
29,ACEV,,,,
30,ACEVU,,,,
31,ACEVW,,,,
32,ACGL,,,,
33,ACGLO,,,,
34,ACGLP,,,,
35,ACHC,,,,
36,ACHV,,,,
37,ACIA,,,,
38,ACIU,,,,
39,ACIW,,,,
40,ACLS,,,,
41,ACMR,,,,
42,ACNB,,,,
43,ACOR,,,,
44,ACRS,,,,
45,ACRX,,,,
46,ACST,,,,
47,ACTCU,,,,
48,ACTG,,,,
49,ACWI,,,,
50,ACWX,,,,
51,ADAP,,,,
52,ADBE,,,,
53,ADES,,,,
54,ADI,,,,
55,ADIL,,,,
56,ADILW,,,,
57,ADMA,,,,
58,ADMP,,,,
59,ADMS,,,,
60,ADOCU,,,,
61,ADP,,,,
62,ADPT,,,,
63,ADRE,,,,
64,ADSK,,,,
65,ADTN,,,,
66,ADTX,,,,
67,ADUS,,,,
68,ADV,,,,
69,ADVM,,,,
70,ADVWW,,,,
71,ADXN,,,,
72,ADXS,,,,
73,AEGN,,,,
74,AEHL,,,,
75,AEHR,,,,
76,AEIS,,,,
77,AEMD,,,,
78,AEP,,,,
79,AEPPL,,,,
80,AEPPZ,,,,
81,AERI,,,,
82,AESE,,,,
83,AEY,,,,
84,AEYE,,,,
85,AEZS,,,,
86,AFIB,,,,
87,AFIN,,,,
88,AFINP,,,,
89,AFMD,,,,
90,AFYA,,,,
91,AGBA,,,,
92,AGBAR,,,,
93,AGBAU,,,,
94,AGBAW,,,,
95,AGCUU,,,,
96,AGEN,,,,
97,AGFS,,,,
98,AGIO,,,,
99,AGLE,,,,
100,AGMH,,,,
101,AGNC,,,,
102,AGNCM,,,,
103,AGNCN,,,,
104,AGNCO,,,,
105,AGNCP,,,,
106,AGRX,,,,
107,AGTC,,,,
108,AGYS,,,,
109,AGZD,,,,
110,AHAC,,,,
111,AHACU,,,,
112,AHACW,,,,
113,AHCO,,,,
114,AHPI,,,,
115,AIA,,,,
116,AIH,,,,
117,AIHS,,,,
118,AIKI,,,,
119,AIMC,,,,
120,AINV,,,,
121,AIQ,,,,
122,AIRG,,,,
123,AIRR,,,,
124,AIRT,,,,
125,AIRTP,,,,
126,AIRTW,,,,
127,AKAM,,,,
128,AKBA,,,,
129,AKER,,,,
130,AKRO,,,,
131,AKTS,,,,
132,AKTX,,,,
133,AKU,,,,
134,AKUS,,,,
135,ALAC,,,,
136,ALACR,,,,
137,ALACU,,,,
138,ALACW,,,,
139,ALBO,,,,
140,ALCO,,,,
141,ALDX,,,,
142,ALEC,,,,
143,ALGM,,,,
144,ALGN,,,,
145,ALGS,,,,
146,ALGT,,,,
147,ALIM,,,,
148,ALJJ,,,,
149,ALKS,,,,
150,ALLK,,,,
151,ALLO,,,,
152,ALLT,,,,
153,ALNA,,,,
154,ALNY,,,,
155,ALOT,,,,
156,ALPN,,,,
157,ALRM,,,,
158,ALRN,,,,
159,ALRS,,,,
160,ALSK,,,,
161,ALT,,,,
162,ALTA,,,,
163,ALTM,,,,
164,ALTR,,,,
165,ALTY,,,,
166,ALVR,,,,
167,ALXN,,,,
168,ALXO,,,,
169,ALYA,,,,
170,AMAL,,,,
171,AMAT,,,,
172,AMBA,,,,
173,AMCA,,,,
174,AMCI,,,,
175,AMCIU,,,,
176,AMCIW,,,,
177,AMCX,,,,
178,AMD,,,,
179,AMED,,,,
180,AMEH,,,,
181,AMGN,,,,
182,AMHC,,,,
183,AMHCU,,,,
184,AMHCW,,,,
185,AMKR,,,,
186,AMNB,,,,
187,AMOT,,,,
188,AMPH,,,,
189,AMRB,,,,
190,AMRH,,,,
191,AMRHW,,,,
192,AMRK,,,,
193,AMRN,,,,
194,AMRS,,,,
195,AMSC,,,,
196,AMSF,,,,
197,AMST,,,,
198,AMSWA,,,,
199,AMTB,,,,
200,AMTBB,,,,
201,AMTI,,,,
202,AMTX,,,,
203,AMWD,,,,
204,AMYT,,,,
205,AMZN,,,,
206,ANAB,,,,
207,ANAT,,,,
208,ANCN,,,,
209,ANDA,,,,
210,ANDAR,,,,
211,ANDAU,,,,
212,ANDAW,,,,
213,ANDE,,,,
214,ANGI,,,,
215,ANGL,,,,
216,ANGO,,,,
217,ANIK,,,,
218,ANIP,,,,
219,ANIX,,,,
220,ANNX,,,,
221,ANPC,,,,
222,ANSS,,,,
223,ANTE,,,,
224,ANY,,,,
225,AOSL,,,,
226,AOUT,,,,
227,APA,,,,
228,APDN,,,,
229,APEI,,,,
230,APEN,,,,
231,APHA,,,,
232,API,,,,
233,APLS,,,,
234,APLT,,,,
235,APM,,,,
236,APOG,,,,
237,APOP,,,,
238,APOPW,,,,
239,APPF,,,,
240,APPN,,,,
241,APPS,,,,
242,APRE,,,,
243,APTO,,,,
244,APTX,,,,
245,APVO,,,,
246,APWC,,,,
247,APXT,,,,
248,APXTU,,,,
249,APXTW,,,,
250,APYX,,,,
251,AQB,,,,
252,AQMS,,,,
253,AQST,,,,
254,ARAV,,,,
255,ARAY,,,,
256,ARCB,,,,
257,ARCC,,,,
258,ARCE,,,,
259,ARCT,,,,
260,ARDS,,,,
261,ARDX,,,,
262,AREC,,,,
263,ARGX,,,,
264,ARKR,,,,
265,ARLP,,,,
266,ARNA,,,,
267,AROW,,,,
268,ARPO,,,,
269,ARQT,,,,
270,ARRY,,,,
271,ARTL,,,,
272,ARTLW,,,,
273,ARTNA,,,,
274,ARTW,,,,
275,ARVN,,,,
276,ARWR,,,,
277,ARYA,,,,
278,ASET,,,,
279,ASLN,,,,
280,ASMB,,,,
281,ASML,,,,
282,ASND,,,,
283,ASO,,,,
284,ASPS,,,,
285,ASPU,,,,
286,ASRT,,,,
287,ASRV,,,,
288,ASRVP,,,,
289,ASTC,,,,
290,ASTE,,,,
291,ASUR,,,,
292,ASYS,,,,
293,ATAX,,,,
294,ATCX,,,,
295,ATCXW,,,,
296,ATEC,,,,
297,ATEX,,,,
298,ATHA,,,,
299,ATHE,,,,
300,ATHX,,,,
301,ATIF,,,,
302,ATLC,,,,
303,ATLO,,,,
304,ATNF,,,,
305,ATNFW,,,,
306,ATNI,,,,
307,ATNX,,,,
308,ATOM,,,,
309,ATOS,,,,
310,ATRA,,,,
311,ATRC,,,,
312,ATRI,,,,
313,ATRO,,,,
314,ATRS,,,,
315,ATSG,,,,
316,ATVI,,,,
317,ATXI,,,,
318,AUB,,,,
319,AUBAP,,,,
320,AUBN,,,,
321,AUDC,,,,
322,AUPH,,,,
323,AUTL,,,,
324,AUTO,,,,
325,AUVI,,,,
326,AVAV,,,,
327,AVCO,,,,
328,AVCT,,,,
329,AVCTW,,,,
330,AVDL,,,,
331,AVEO,,,,
332,AVGO,,,,
333,AVGOP,,,,
334,AVGR,,,,
335,AVID,,,,
336,AVIR,,,,
337,AVNW,,,,
338,AVO,,,,
339,AVRO,,,,
340,AVT,,,,
341,AVXL,,,,
342,AWH,,,,
343,AWRE,,,,
344,AXAS,,,,
345,AXDX,,,,
346,AXGN,,,,
347,AXLA,,,,
348,AXNX,,,,
349,AXSM,,,,
350,AXTI,,,,
351,AY,,,,
352,AYLA,,,,
353,AYRO,,,,
354,AYTU,,,,
355,AZN,,,,
356,AZPN,,,,
357,AZRX,,,,
358,AZYO,,,,
359,BAND,,,,
360,BANF,,,,
361,BANFP,,,,
362,BANR,,,,
363,BANX,,,,
364,BASI,,,,
365,BATRA,,,,
366,BATRK,,,,
367,BBBY,,,,
368,BBCP,,,,
369,BBGI,,,,
370,BBH,,,,
371,BBI,,,,
372,BBIG,,,,
373,BBIO,,,,
374,BBQ,,,,
375,BBSI,,,,
376,BCBP,,,,
377,BCDA,,,,
378,BCDAW,,,,
379,BCEL,,,,
380,BCLI,,,,
381,BCML,,,,
